question,answer1,answer2,answer3,answer4,correct_answer,image_url
"Wskaż zapisany w języku JavaScript warunek, który ma sprawdzić spełnienie z przypadków: 1) dowolna naturalna liczba a jest trzycyfrowa, 2) dowolna całkowita liczba b jest ujemna",((a>99) || (a<1000)) || (b<0),((a>99) && (a<1000)) || (b<0),((a>99) || (a<1000)) && (b<0),((a>99) && (a<1000)) && (b<0),1,
"Którą czynność gwarantującą poprawne wykonanie przedstawionego kodu JavaScript, należy wykonać przed pętlą?",Zadeklarować zmienną i,Zainicjować zmienną text,Sprawdzić rozmiar tabeli tab,Sprawdzić czy text jest typu znakowego,1,images/393.jpg
"Hermetyzacja to zasada programowania obiektowego mówiąca o tym, że",klasy/obiekty mogą współdzielić ze sobą funkcjonalność,pola i metody wykorzystywane tylko przez daną klasę/obiekt są ograniczone zasięgiem private lub protected,"klasy/obiekty mogą mieć zdefiniowane metody wirtualne, które są implementowane w pochodnych klasach/obiektach",typy pól w klasach/obiektach mogą być dynamicznie zmieniane w zależności od danych im przypisywanych,1,
Przedstawiono fragment JavaScript. Po jego wykonaniu zmienna str2 będzie przechowywać,vaSc,avaS,vaScri,nvaScr,0,images/395.jpg
Który ze sposobów wypisania tekstu nie jest zdefiniowany w języku JavaScript?,Własność innerHTML,Metoda window.alert(),Funkcja MessageBox(),Metoda document.write(),2,
"Funkcja JavaScript powinna być wywołana za każdym razem, gdy użytkownik wpisze dowolny znak do pola edycji. Którego zdarzenia należy użyć?",onload,onclick,onkeydown,onmouseout,2,
Która z wymienionych funkcji zapisanych językiem PHP zwraca sumę połowy a i połowy b,"function licz($a, $b) {return $a/2 + $b;}","function licz($a, $b) {return 2/$a + 2/$b;}","function licz($a, $b) {return $a/2 + $b/2;}","function licz($a, $b) {return ($a/2 + $b)/2;}",2,
W języku JavaScript zapisano definicję obiektu. Aby odwołać się do własności nazwisko należy zapisać,osoba[1],osoba[2],osoba.nazwisko,osoba::nazwisko,2,images/399.jpg
W języku PHP zapisano fragment kodu. Plik cookie stworzony tym poleceniem,zostanie usunięty po jednym dniu od jego utworzenia,będzie przechowywany na serwerze przez jeden dzień,zostanie usunięty po jednej godzinie od jego utworzenia,będzie przechowywany na serwerze przez jedną godzinę,0,images/400.jpg
W języku PHP zapisano fragment kodu. Po zakończeniu pętli zmienna a przyjmie wartość,0,2,10,20,3,images/401.jpg
"W języku JavaScript, aby zmienić wartość atrybutu znacznika HTML, po uzyskaniu obiektu za pomocą metody getElementById należy skorzystać z",pola innerHTML,metody getAttribute,metody setAttribute,pola attribute i podać nazwę atrybutu,2,
"W języku JavaScript zapisano kod, którego wynikiem działania jest",wyświetlenie okna z pustym polem edycyjnym,"bezpośrednie wpisanie do zmiennej osoba wartości ""Adam""","pobranie z formularza wyświetlonego na stronie HTML imienia ""Adam""","wyświetlenie okna z polem edycyjnym, w którym jest wpisany domyślny tekst ""Adam""",3,images/403.jpg
W języku PHP zapisano fragment kodu działającego na bazie MySQL. Jego zadaniem jest wypisanie,ulicy i miasta z pierwszego zwróconego rekordu,ulicy i miasta ze wszystkich zwróconych rekordów,miasta i kodu pocztowego z pierwszego zwróconego rekordu,miasta i kodu pocztowego ze wszystkich zwróconych rekordów,2,images/404.jpg
Który sposób komentowania jednoliniowego jest dozwolony w języku JavaScript?,!,#,//,<!,2,
"Znaczniki <header>, <article>, <section>, <footer> są charakterystyczne dla języka",HTML 5,XHTML 1.1,HTML 4.01 Strict,HTML 4.01 Transitional,0,
Przy użyciu którego znacznika w języku HTML nie można umieścić na stronie grafiki dynamicznej?,<img>,<strike>,<embed>,<object>,1,
"Które ze znaczników HTML umożliwią wyświetlenie na stronie tekstu w jednym wierszu, jeżeli żadne formatowanie CSS nie zostało zdefiniowane?","<p>Dobre strony </p><p style=""letter-spacing:3px"">mojej strony</p>","<h3>Dobre strony </h3><h3 style=""letter-spacing:3px"">mojej strony</h3>","<div>Dobre strony </div><div style=""letter-spacing:3px"">mojej strony</div>","<span>Dobre strony </span><span style=""letter-spacing:3px"">mojej strony</span>",3,images/408.jpg
"W języku HTML atrybut shape znacznika area, określający typ obszaru, może przyjąć wartość","rect, triangle, circle","poly, square, circle","rect, square, circle","rect, poly, circle",3,
Wskaż prawidłową kolejność stylów CSS mając na uwadze ich pierwszeństwo w formatowaniu elementów strony WWW.,"Lokalny, Wewnętrzny, Zewnętrzny","Zewnętrzny, Wydzielone bloki, Lokalny","Rozciąganie stylu, Zewnętrzny, Lokalny","Wewnętrzny, Zewnętrzny, Rozciąganie stylu",0,
"W folderze www znajdują się podfoldery html i style, w których zapisane są odpowiednio pliki z rozszerzeniem html i pliki z rozszerzeniem css. Chcąc dołączyć styl.css do pliku HTML należy użyć","<link rel=""Stylesheet"" type=""text/css"" href=""/styl.css"" />","<link rel=""Stylesheet"" type=""text/css"" href=""/style/styl.css"" />","<link rel=""Stylesheet"" type=""text/css"" href=""/www/style/styl.css"" />","<link rel=""Stylesheet"" type=""text/css"" href=""/../style/styl.css"" />",3,
"Chcąc zdefiniować marginesy wewnętrzne dla danych: margines górny 50px, dolny 40px, prawy 20px i lewy 30px należy użyć składni CSS","padding: 50px, 40px, 20px, 30px;","padding: 50px, 20px, 40px, 30px;","padding: 20px, 40px, 30px, 50px;","padding: 40px, 30px, 50px, 20px;",1,
"Chcąc sformatować w stylach CSS wszystkie obrazy zawarte w akapicie, powinno się użyć selektora",p img,p#img,p+img,p.img,0,
"Który z atrybutów background-attachment w języku CSS należy wybrać, aby tło strony było nieruchome względem okna przeglądarki?",Scroll,Fixed,Local,Inherit,1,
"Barwa zapisana w modelu RGB(255, 0, 0) jest",żółta,zielona,niebieska,czerwona,3,
Połączenie dwóch barw leżących po przeciwnych stronach w kole barw jest połączeniem,trójkątnym,sąsiadującym,dopełniającym,monochromatycznym,2,
"Model barw oparty na 3 parametrach: odcień, nasycenie i jasność to",RGB,HSV,CMY,CMYK,1,
Który z wymienionych formatów plików NIE JEST wykorzystywany do publikacji grafiki lub animacji na stronach internetowych?,PNG,SWF,SVG,AIFF,3,
"Aby stworzyć przycisk na stronę internetową według wzoru, należy w programie do grafiki rastrowej użyć opcji",propagacja wartości,zaznaczenie eliptyczne,zniekształcenia i deformowanie,zaokrąglenie lub wybranie opcji prostokąt z zaokrąglonymi rogami,3,images/419.jpg
Pierwszym krokiem podczas przetwarzania sygnału analogowego na cyfrowy jest,próbkowanie,kwantyzacja,filtrowanie,kodowanie,0,
Wskaż FAŁSZYWE stwierdzenie dotyczące normalizacji sygnału dźwiękowego,Polecenie normalizacja dostępne jest w menu programu do obróbki dźwięku,W wyniku normalizacji wyrównywany jest poziom głośności całego nagrania,"Jeśli najgłośniejszy fragment dźwięku osiąga połowę skali, wszystko zostanie pogłośnione razy dwa - czyli tak, aby najgłośniejszy fragment osiągnął maksimum na skali",Normalizacja polega na zmniejszeniu poziomu najgłośniejszej próbki w sygnale do zadanej wartości i następnie w odniesieniu do niej proporcjonalnym zwiększeniu głośności reszty sygnału,2,
Wskaż PRAWDZIWE stwierdzenie dla polecenia: CREATE TABLE IF NOT EXISTS ADRES(ulica VARCHAR(70) CHARACTER SET utf8);,Rekordem tabeli nie może być 3 MAJA,Klauzula CHARACTER SET utf8 jest obowiązkowa,Do tabeli nie można wprowadzać ulic zawierających w nazwie polskie znaki,"IF NOT EXISTS stosuje się opcjonalnie, aby upewnić się, że brak w bazie danych takiej tabeli",3,
Jak działa instrukcja łącząca wyniki zapytań INTERSECT w języku SQL?,"Zwraca listę wyników z pierwszego zapytania oraz listę wyników z drugiego zapytania, powodując domyślne usuwanie powtarzających się wierszy.","Zwraca te wiersze, które wystąpiły w wyniku pierwszego zapytania, ale nie było ich w wyniku drugiego zapytania.","Zwraca te wiersze, które wystąpiły w wyniku drugiego zapytania, ale nie było ich w wyniku pierwszego zapytania.",Zwraca część wspólną wyników dwóch zapytań.,3,
"W języku SQL dla dowolnych zestawów danych w tabeli Uczniowie, aby wybrać rekordy, które zawierają wyłącznie uczennice o imieniu ""Aleksandra"", urodzone po roku ""1998"", należy zapisać zapytanie","SELECT * FROM Uczniowie WHERE imie=""Aleksandra"" AND rok_urodzenia > ""1998"";","SELECT * FROM Uczniowie WHERE imie =""Aleksandra"" OR rok_urodzenia < ""1998"";","SELECT * FROM Uczniowie WHERE imie=""Aleksandra"" OR rok_urodzenia > ""1998"";","SELECT * FROM Uczniowie WHERE imie=""Aleksandra"" AND rok_urodzenia < ""1998"";",0,
"Którą relację w projekcie bazy danych należy ustalić między tabelami widocznymi na rysunku zakładając, że każdy klient sklepu internetowego dokona przynajmniej dwóch zamówień?",1:1,"1:n, gdzie 1 jest po stronie Klienta, a wiele po stronie Zamówienia","1:n, gdzie 1 jest po stronie Zamówienia, a wiele po stronie Klienta",n:n,1,images/425.jpg
"Wyszukując z tabeli Pracownicy wyłącznie nazwiska, w których ostatnią literą jest ""i"", można użyć kwerendy SQL","SELECT nazwisko FROM Pracownicy WHERE nazwisko LIKE ""i"";","SELECT nazwisko FROM Pracownicy WHERE nazwisko LIKE ""%i%"";","SELECT nazwisko FROM Pracownicy WHERE nazwisko LIKE ""%i"";","SELECT nazwisko FROM Pracownicy WHERE nazwisko LIKE ""i%"";",2,
W celu dodania rekordu do tabeli Pracownicy należy użyć polecenia SQL,"INSERT INTO Pracownicy VALUES (""Jan"", ""Kowalski"");",INSERT VALUES (Jan; Kowalski) INTO Pracownicy;,"INSERT VALUES Pracownicy INTO (Jan, Kowalski);","INSERT (Jan), (Kowalski) INTO TABLE Pracownicy;",0,
W języku SQL w wyniku wykonania zapytania ALTER TABLE osoba DROP COLUMN grupa; zostanie,dodana kolumna grupa,usunięta kolumna grupa,zmieniona nazwa tabeli na grupa,zmieniona nazwa kolumny na grupa,1,
"Właściwym zestawem kroków według kolejności, które należy wykonać w celu nawiązania współpracy między aplikacją internetową po stronie serwera a bazą SQL, jest","zapytanie do bazy, wybór bazy, wyświetlenie na stronie WWW, zamknięcie połączenia","wybór bazy danych, nawiązanie połączenia z serwerem baz danych, zapytanie do bazy, wyświetlenie na stronie WWW, zamknięcie połączenia","wybór bazy, zapytanie do bazy, nawiązanie połączenia z serwerem baz danych, wyświetlenie na stronie WWW, zamknięcie połączenia","nawiązanie połączenia z serwerem baz danych, wybór bazy, zapytanie do bazy - wyświetlane na stronie WWW, zamknięcie połączenia",3,
Do poprawnego i spójnego działania bazy danych niezbędne jest umieszczenie w każdej tabeli,kluczy PRIMARY KEY i FOREIGN KEY,klucza FOREIGN KEY z wartością NOT NULL,klucza obcego z wartością NOT NULL i UNIQUE,klucza PRIMARY KEY z wartością NOT NULL i UNIQUE,3,
"W języku PHP, dla zmiennych a = 5 i b = 3 wartość typu zmiennoprzecinkowego zwróci wyrażenie",a + b,a * b,a / b,a && b,2,
Wartość i typ zmiennej w języku PHP można sprawdzić za pomocą funkcji,readfile(),var_dump(),implode(),strlen(),1,
"W języku JavaScript zdefiniowana zmienna i, która ma przechowywać wynik dzielenia wynoszący 1, to",var i=3/2;,var i=Number(3/2);,var i=parseInt(3/2);,var i=parseFloat(3/2);,2,
Wskaż BŁĘDNY opis optymalizacji kodu wynikowego programu,Jej celem jest poprawienie wydajności programu,W celu zwiększenia szybkości wykonywania kodu przez procesor może być prowadzona na różnych etapach pracy,Jej celem jest sprawdzenie zgodności z wymogami formalnymi,"Powinna prowadzić do modyfikacji kodu źródłowego do postaci, w której będzie on działał szybciej",2,
"Podaj wynik działania programu zapisanego w języku JavaScript, znajdującego się w ramce, po podaniu na wejściu wartości 5",60,120,125,625,1,images/435.jpg
"W języku PHP chcąc wyświetlić ciąg n znaków @, należy użyć funkcji",A,B,C,D,3,images/436.jpg
Językami programowania działającymi po stronie serwera są:,"Java, C#, AJAX, Ruby, PHP","Java, C#, Python, Ruby, PHP","C#, Python, Ruby, PHP, JavaScript","Java, C#, Python, ActionScript, PHP",1,
Instrukcja przypisania elementu do tablicy w języku JavaScript dotyczy tablicy,statycznej,asocjacyjnej,numerycznej,wielowymiarowej,1,images/438.jpg
Jakie elementy wypisze funkcja wypisz(2) stworzona w języku JavaScript?,6,2 3 4 6,3 4 6 8,3 4 6,3,images/439.jpg
"W formularzu dokumentu PHP istnieje pole <input name=""im"" />. Po wprowadzeniu przez użytkownika ciągu znaków ""Janek"", w celu dodania zawartości pola do bazy danych, w tablicy $_POST zawarty jest element",im o indeksie Janek,Janek o indeksie im,im z kolejnym numerem indeksu,Janek z kolejnym numerem indeksu,1,
"W celu zmodyfikowania tekstu ""ala ma psa"" na ""ALA MA PSA"" należy użyć funkcji PHP","strtoupper(""ala ma psa"");","strtolower(""ala ma psa"");","ucfirst(""ala ma psa"");","strstr(""ala ma psa"");",0,
W kodzie JavaScript pętla zostanie wykonana,2 razy,3 razy,26 razy,27 razy,1,images/442.jpg
Poprawne udokumentowanie wzorca weryfikacji pola nazwa w części kodu aplikacji JavaScript to,"/* Pole nazwa może składać się z dowolnego ciągu cyfr (z wyłączeniem 0), małych i dużych liter. */","/* Pole nazwa powinno składać się w kolejności: z ciągu cyfr (z wyłączeniem 0), następnie dużej litery i ciągu małych liter. */","/* Pole nazwa musi składać się w kolejności: z ciągu cyfr (z wyłączeniem 0), następnie dużej litery i dwóch małych liter. */","/* Pole nazwa może zawierać dowolny ciąg cyfr (z wyłączeniem 0), następnie musi zawierać dużą literę i ciąg minimum dwóch małych liter. */",3,images/443.jpg
"Włączenie do kodu skryptu zawartości pliku egzamin.php, zawierającego kod PHP, wymaga dodania instrukcji","fgets(""egzamin.php"");","fopen(""egzamin.php"");","getfile(""egzamin.php"");","include(""egzamin.php"");",3,
Do utworzenia kopii zapasowej bazy danych w MySQL należy użyć polecenia,mysqlslap,mysqlreplicate,mysqldump,mysqlcheck,2,
"Deklaracja typu dokumentu HTML: <!DOCTYPE HTML> oznacza, że kod jest napisany w wersji",4,5,6,7,1,
Dołączenie zewnętrznego arkusza stylów do kodu HTML jest realizowane przy użyciu znacznika,<css>,<link>,<style>,<meta>,1,
Który z rysunków obrazuje efekt działania przedstawionego fragmentu kodu HTML?,A,B,C,D,2,images/448.jpg
Przedstawione pole input umożliwi,wpisanie hasła,zaznaczenie opcji,wpisanie dowolnego tekstu,wybranie opcji z listy o wartościach text1 i text2,1,images/449.jpg
W języku HTML zdefiniowano hiperłącze ze znakiem #. Co stanie się po wybraniu przedstawionego odsyłacza?,Zostanie wywołany skrypt o nazwie dane,Otworzy się osobna karta przeglądarki o nazwie dane,Zostanie wybrany adres względny URL o nazwie dane,Strona przewinie się do elementu o wartości id równej dane,3,images/450.jpg
"Podana definicja stylu CSS sprawi, że nagłówki pierwszego stopnia będą","wyjustowane, pisane wielkimi literami, a odstępy między liniami będą ustawione na 10 px","wyjustowane, pisane małymi literami, a odstępy między literami będą ustawione na 10 px","wyśrodkowane, pisane małymi literami, a odstępy między liniami będą ustawione na 10 px","wyśrodkowane, pisane wielkimi literami, a odstępy między literami będą ustawione na 10 px",3,images/451.jpg
"Jak zdefiniować w języku CSS formatowanie hiperłącza, żeby nieodwiedzony link był w kolorze żółtym, a odwiedzony w kolorze zielonym?",a:visited {color: yellow;} a:link{color: green;},a:hover {color: green;} a:link{color: yellow;},a:hover {color: yellow;} a:visited{color: green;},a:link {color: yellow;} a:visited{color: green;},3,
"W języku CSS zdefiniowano formatowanie dla stopki. Aby użyć tego formatowania dla bloku opisanego znacznikiem div, należy zapisać","<div ""stopka"">","<div id=""stopka"">","<div title=""stopka"">","<div class=""stopka"">",1,
"Przedstawiono efekt formatowania CSS oraz kod HTML. Jak należy zdefiniować styl, aby osiągnąć takie formatowanie?",.first-line {font-size: 200%; color:brown;},#first-line {font-size: 200%; color:brown;},p::first-line {font-size: 200%; color:brown;},p.first-line {font-size: 200%; color:brown;},2,images/454.jpg
"Przedstawione formatowanie CSS sprawi, że dla prezentowanego nagłówka trzeciego stopnia",tło będzie szare,tło będzie pomarańczowe,kolor czcionki będzie szary,kolor czcionki będzie pomarańczowy,1,images/455.jpg
"W języku XHTML zapisano fragment kodu, który zawiera błąd walidacji. Na czym polega ten błąd?",Znacznik <br> powinien być zamknięty,Nie istnieje nagłówek szóstego stopnia,Znaczniki należy pisać wielkimi literami,Znacznik <b> nie może być zagnieżdżany w znaczniku,0,images/456.jpg
